login_id,account_id,timestamp,ip_address,device_id,user_agent,success
LOG-9aaf2a6c3d,ACC-10005,2026-02-21T19:24:17,172.20.122.77,dev-c6da46ab,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/536.1 (KHTML, like Gecko) Chrome/25.0.843.0 Safari/536.1",True
LOG-203e65201f,ACC-10005,2026-05-17T04:11:35,192.168.93.187,dev-660f4e48,Mozilla/5.0 (compatible; MSIE 5.0; Windows CE; Trident/4.0),True
LOG-b3d5eb97d4,ACC-10005,2026-01-08T12:28:11,192.168.215.72,dev-08a0d48e,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 4.0; Trident/5.1),True
LOG-4beb39919f,ACC-10005,2026-02-13T04:36:58,172.31.14.162,dev-862b40c5,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/536.2 (KHTML, like Gecko) Chrome/56.0.848.0 Safari/536.2",True
LOG-7f942794cf,ACC-10005,2026-03-31T09:10:06,172.21.168.139,dev-4460a215,Mozilla/5.0 (compatible; MSIE 5.0; Windows 95; Trident/4.1),True
LOG-ba1837e7c2,ACC-10005,2026-02-14T04:40:18,10.86.83.126,dev-2a83cbec,"Mozilla/5.0 (Windows; U; Windows NT 6.1) AppleWebKit/532.32.7 (KHTML, like Gecko) Version/4.0.2 Safari/532.32.7",True
LOG-c6b5405a79,ACC-10006,2026-01-08T10:17:29,172.26.207.139,dev-5641ef66,Opera/8.61.(X11; Linux i686; lb-LU) Presto/2.9.171 Version/10.00,True
LOG-c9f1dbe57f,ACC-10006,2026-03-26T09:12:50,10.67.45.103,dev-945ceb83,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/536.0 (KHTML, like Gecko) FxiOS/10.0n1001.0 Mobile/64T890 Safari/536.0",True
LOG-b504150276,ACC-10006,2026-03-02T21:50:32,192.168.144.190,dev-3d5bcad1,"Mozilla/5.0 (Linux; Android 1.0) AppleWebKit/531.1 (KHTML, like Gecko) Chrome/13.0.885.0 Safari/531.1",True
LOG-4b65c35549,ACC-10006,2026-04-10T07:24:15,10.38.108.184,dev-e481dcae,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_2_1 like Mac OS X) AppleWebKit/533.2 (KHTML, like Gecko) CriOS/35.0.856.0 Mobile/37B447 Safari/533.2",True
LOG-fa51cad30e,ACC-10006,2026-04-22T23:05:42,172.18.249.117,dev-27f3795c,Mozilla/5.0 (compatible; MSIE 7.0; Windows 98; Win 9x 4.90; Trident/3.1),True
LOG-0ca3d7eae9,ACC-10006,2026-01-09T14:51:22,172.24.178.219,dev-d33a018e,Opera/8.30.(X11; Linux x86_64; mt-MT) Presto/2.9.163 Version/10.00,True
LOG-3d3c39b997,ACC-10006,2026-01-01T07:52:54,10.247.33.40,dev-6cf1e246,"Mozilla/5.0 (Windows; U; Windows NT 5.1) AppleWebKit/534.12.5 (KHTML, like Gecko) Version/5.0 Safari/534.12.5",True
LOG-ae4a005cdd,ACC-10007,2026-04-23T14:55:29,10.193.220.201,dev-ecd5de2e,Opera/9.21.(X11; Linux i686; brx-IN) Presto/2.9.174 Version/12.00,True
LOG-b0d8afa479,ACC-10007,2026-03-04T13:47:24,172.19.204.114,dev-63f5ddcd,Opera/8.21.(X11; Linux i686; cmn-TW) Presto/2.9.173 Version/10.00,True
LOG-ae06b17b15,ACC-10007,2026-03-27T20:36:50,192.168.155.244,dev-ae2ee800,"Mozilla/5.0 (Windows; U; Windows NT 11.0) AppleWebKit/535.14.6 (KHTML, like Gecko) Version/5.0.3 Safari/535.14.6",True
LOG-c7784ce894,ACC-10007,2026-04-10T06:14:36,192.168.174.198,dev-5bcb3c89,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.2; Trident/5.1),True
LOG-955376206e,ACC-10007,2026-05-23T21:49:44,192.168.84.12,dev-035f79bd,Opera/8.34.(Windows NT 11.0; mni-IN) Presto/2.9.168 Version/12.00,True
LOG-708d8ec739,ACC-10007,2026-01-17T11:10:33,10.201.41.186,dev-b3ab8558,Mozilla/5.0 (Android 13; Mobile; rv:54.0) Gecko/54.0 Firefox/54.0,True
LOG-3a82cd849d,ACC-10007,2026-05-09T21:46:59,172.30.125.182,dev-3cd94061,Mozilla/5.0 (Windows NT 6.2; ts-ZA; rv:1.9.2.20) Gecko/5568-06-17 23:25:09 Firefox/13.0,True
LOG-cf77884ea6,ACC-10007,2026-03-07T02:05:25,10.82.102.31,dev-5f3f09d7,Mozilla/5.0 (compatible; MSIE 7.0; Windows 98; Win 9x 4.90; Trident/3.1),True
LOG-e74728b808,ACC-10007,2026-05-26T20:33:26,10.16.138.118,dev-1877664b,Mozilla/5.0 (compatible; MSIE 8.0; Windows 98; Trident/5.0),True
LOG-4a2ad8ce96,ACC-10009,2026-02-23T07:43:00,10.3.192.213,dev-29147c3c,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/15.0.811.0 Safari/532.2",True
LOG-713fc7afd7,ACC-10009,2026-05-19T13:21:36,172.28.241.60,dev-afe8292d,Opera/8.84.(Windows 95; mhr-RU) Presto/2.9.177 Version/10.00,True
LOG-30a67325f0,ACC-10009,2026-02-22T18:17:03,10.37.42.113,dev-bcd043d6,Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Trident/4.1),True
LOG-7075d3e95d,ACC-10009,2026-04-15T21:17:30,192.168.224.23,dev-6aa20570,Opera/8.27.(Windows NT 11.0; uz-UZ) Presto/2.9.175 Version/10.00,True
LOG-12bea22020,ACC-10009,2026-01-30T06:55:18,192.168.151.7,dev-e971b622,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_9_3; rv:1.9.2.20) Gecko/7903-12-17 01:30:40 Firefox/15.0,True
LOG-60fa63191a,ACC-10009,2026-05-15T18:02:25,10.249.113.5,dev-cb51c34e,Mozilla/5.0 (compatible; MSIE 7.0; Windows 98; Win 9x 4.90; Trident/5.0),True
LOG-ccc2decb26,ACC-10017,2026-02-26T01:01:22,172.28.32.69,dev-c2e97c51,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_5_1) AppleWebKit/534.2 (KHTML, like Gecko) Chrome/49.0.893.0 Safari/534.2",True
LOG-4c1d10b988,ACC-10017,2026-04-02T00:17:27,192.168.181.44,dev-f8dfc1e4,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_9_4; rv:1.9.2.20) Gecko/8341-06-07 02:50:27 Firefox/3.6.16,True
LOG-e89222546a,ACC-10017,2026-05-16T20:59:43,172.16.238.135,dev-3e268f4e,"Mozilla/5.0 (iPad; CPU iPad OS 17_4_1 like Mac OS X) AppleWebKit/531.2 (KHTML, like Gecko) FxiOS/11.7s6084.0 Mobile/27K278 Safari/531.2",True
LOG-06c3a6e97a,ACC-10017,2026-02-22T20:45:33,192.168.59.211,dev-4945d32b,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.2; Trident/3.1),True
LOG-b4066d1f0c,ACC-10017,2026-04-06T21:15:09,172.23.154.195,dev-27dbb3f6,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 11.0; Trident/4.0),True
LOG-c43b2fd7d5,ACC-10017,2026-04-27T03:03:10,192.168.57.118,dev-11e48c44,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 10.0; Trident/3.0),False
LOG-8412c45159,ACC-10017,2026-03-25T21:23:58,172.31.113.250,dev-b8534000,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_3 rv:2.0; km-KH) AppleWebKit/532.13.3 (KHTML, like Gecko) Version/5.0.5 Safari/532.13.3",True
LOG-f3da1975d6,ACC-10017,2026-04-28T05:30:34,10.44.149.54,dev-ebaad9ad,Mozilla/5.0 (compatible; MSIE 8.0; Windows 95; Trident/3.1),True
LOG-03d3f1a293,ACC-10017,2026-01-18T17:36:50,10.159.209.49,dev-e0b125a8,Mozilla/5.0 (Windows NT 5.2; li-NL; rv:1.9.1.20) Gecko/3687-11-24 06:50:50 Firefox/7.0,True
LOG-a66c53667c,ACC-10017,2026-05-11T22:27:29,10.44.23.221,dev-391e7412,Opera/9.52.(Windows 98; Win 9x 4.90; zh-TW) Presto/2.9.179 Version/11.00,True
LOG-92e2001956,ACC-10017,2026-04-22T16:37:19,10.40.55.33,dev-bf9e2e06,Opera/9.97.(X11; Linux i686; ca-IT) Presto/2.9.163 Version/11.00,True
LOG-feec798cc2,ACC-10017,2026-01-05T00:40:50,192.168.238.72,dev-2db24666,Opera/9.33.(Windows CE; dz-BT) Presto/2.9.189 Version/11.00,True
LOG-86026a7d38,ACC-10022,2026-04-01T08:14:14,10.156.236.233,dev-cb8f5506,Mozilla/5.0 (Android 2.0; Mobile; rv:45.0) Gecko/45.0 Firefox/45.0,True
LOG-17e809288f,ACC-10022,2026-05-12T13:53:44,192.168.154.102,dev-3f587aee,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_7 like Mac OS X) AppleWebKit/531.1 (KHTML, like Gecko) CriOS/14.0.851.0 Mobile/72A752 Safari/531.1",True
LOG-00430b49da,ACC-10022,2026-01-15T08:13:17,10.47.89.175,dev-6d521743,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.0; Trident/5.0),True
LOG-53afe6e686,ACC-10024,2026-02-04T02:32:31,10.27.15.120,dev-ff8678f9,"Mozilla/5.0 (iPad; CPU iPad OS 17_4_1 like Mac OS X) AppleWebKit/534.2 (KHTML, like Gecko) CriOS/34.0.869.0 Mobile/02E695 Safari/534.2",True
LOG-8c9e23b575,ACC-10024,2026-04-15T17:49:20,10.16.45.174,dev-2ff75c46,Opera/9.68.(X11; Linux i686; mg-MG) Presto/2.9.170 Version/11.00,True
LOG-f52ea8806a,ACC-10024,2026-03-13T01:01:10,10.155.40.168,dev-9886e571,Mozilla/5.0 (Windows NT 5.1; ta-LK; rv:1.9.2.20) Gecko/8609-03-31 10:59:19 Firefox/3.8,True
LOG-d571df586d,ACC-10024,2026-02-22T22:04:10,172.27.111.138,dev-a375e02c,Opera/9.85.(Windows 95; uz-UZ) Presto/2.9.167 Version/10.00,True
LOG-bc88f65d7d,ACC-10024,2026-02-19T21:34:02,10.33.137.63,dev-dda661a0,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.0; Trident/3.0),True
LOG-b55335faf7,ACC-10024,2026-04-04T13:34:25,192.168.235.252,dev-e7669cc4,Opera/8.50.(X11; Linux x86_64; id-ID) Presto/2.9.182 Version/11.00,True
LOG-18761bb1ca,ACC-10024,2026-02-27T07:27:31,172.26.81.70,dev-e52b2a36,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_10_6 rv:3.0; pt-PT) AppleWebKit/531.32.1 (KHTML, like Gecko) Version/4.0.3 Safari/531.32.1",True
LOG-52f24cacf9,ACC-10024,2026-03-07T18:31:38,10.205.214.135,dev-a5838b2d,"Mozilla/5.0 (iPad; CPU iPad OS 12_5_7 like Mac OS X) AppleWebKit/533.1 (KHTML, like Gecko) FxiOS/17.5n1484.0 Mobile/19G876 Safari/533.1",True
LOG-760c10815d,ACC-10024,2026-04-01T22:34:56,172.17.234.140,dev-e747f6a9,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; wo-SN) AppleWebKit/532.24.4 (KHTML, like Gecko) Version/4.0.5 Mobile/8B115 Safari/6532.24.4",True
LOG-7d08672919,ACC-10025,2026-03-30T07:27:23,172.17.47.34,dev-17b03f8b,Mozilla/5.0 (Android 2.3.4; Mobile; rv:45.0) Gecko/45.0 Firefox/45.0,True
LOG-6949f99dc5,ACC-10025,2026-05-26T10:38:49,10.89.173.209,dev-0b2342bc,Mozilla/5.0 (Android 4.3; Mobile; rv:51.0) Gecko/51.0 Firefox/51.0,True
LOG-e66a0ab582,ACC-10025,2026-04-24T12:14:50,172.28.147.65,dev-2d5a0d9e,Mozilla/5.0 (compatible; MSIE 7.0; Windows 98; Trident/3.1),True
LOG-b6c07aadc1,ACC-10025,2026-05-04T23:51:18,10.82.9.77,dev-72f2db82,Opera/9.20.(X11; Linux x86_64; tt-RU) Presto/2.9.185 Version/10.00,True
LOG-a80adb9210,ACC-10030,2026-03-25T12:16:16,10.156.62.115,dev-2d2b3e36,Mozilla/5.0 (compatible; MSIE 6.0; Windows 98; Win 9x 4.90; Trident/5.1),True
