login_id,account_id,timestamp,ip_address,device_id,user_agent,success
LOG-3975e55fe3,ACC-10000,2026-02-18T06:49:21,172.28.113.87,dev-db0c91ea,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_8_1 like Mac OS X) AppleWebKit/536.0 (KHTML, like Gecko) CriOS/35.0.858.0 Mobile/34Z191 Safari/536.0",True
LOG-a3a8a8164b,ACC-10000,2026-04-15T03:16:21,10.152.74.176,dev-17d9f739,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_10_2 rv:6.0; hne-IN) AppleWebKit/535.6.6 (KHTML, like Gecko) Version/5.0 Safari/535.6.6",True
LOG-91980f8e73,ACC-10000,2026-03-23T22:06:39,10.88.178.59,dev-a7f7e834,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; nl-NL) AppleWebKit/532.32.3 (KHTML, like Gecko) Version/4.0.5 Mobile/8B117 Safari/6532.32.3",True
LOG-15fd58181f,ACC-10000,2026-03-31T20:00:11,172.30.52.8,dev-d701a37b,Opera/9.14.(Windows 98; sq-AL) Presto/2.9.185 Version/10.00,True
LOG-e4337cc244,ACC-10001,2026-04-04T11:17:34,10.187.213.78,dev-c6222623,"Mozilla/5.0 (Windows; U; Windows NT 4.0) AppleWebKit/531.49.6 (KHTML, like Gecko) Version/4.1 Safari/531.49.6",True
LOG-1730bae1c8,ACC-10001,2026-03-19T20:58:59,192.168.179.133,dev-9d897425,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_5 rv:4.0; bhb-IN) AppleWebKit/534.11.5 (KHTML, like Gecko) Version/4.0 Safari/534.11.5",True
LOG-0e31110288,ACC-10001,2026-02-01T23:15:52,10.64.247.124,dev-d743bae8,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5; rv:1.9.2.20) Gecko/9327-01-19 08:20:27 Firefox/3.8,True
LOG-dc6c0e95ba,ACC-10001,2026-03-17T19:29:50,172.26.206.227,dev-0ea53fe9,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_0 rv:2.0; wal-ET) AppleWebKit/535.9.5 (KHTML, like Gecko) Version/5.0.3 Safari/535.9.5",True
LOG-e06b8bebaa,ACC-10001,2026-03-30T08:29:33,10.67.138.28,dev-ff1fd02e,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 11.0; Trident/4.0),True
LOG-e643755f30,ACC-10001,2026-05-16T06:21:06,192.168.42.51,dev-b3c8f329,Mozilla/5.0 (compatible; MSIE 6.0; Windows 95; Trident/4.1),True
LOG-3f1835b092,ACC-10001,2026-04-18T22:04:05,192.168.119.225,dev-0a9b0bdc,Opera/9.19.(X11; Linux i686; zh-CN) Presto/2.9.160 Version/10.00,True
LOG-85a66894c1,ACC-10001,2026-04-05T12:03:11,10.227.223.206,dev-91695737,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/37.0.811.0 Safari/531.2",True
LOG-1b50129e49,ACC-10001,2026-02-27T14:45:31,192.168.225.84,dev-1d059a1f,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.1; Trident/5.0),True
LOG-3d97cf5a18,ACC-10001,2026-01-12T08:33:06,172.30.40.2,dev-f62e85d6,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_4 like Mac OS X) AppleWebKit/534.1 (KHTML, like Gecko) FxiOS/16.1x3899.0 Mobile/65U234 Safari/534.1",True
LOG-bbcc9ef7ee,ACC-10002,2026-02-16T08:21:25,10.200.13.245,dev-71f3df95,"Mozilla/5.0 (Windows; U; Windows NT 5.01) AppleWebKit/531.20.6 (KHTML, like Gecko) Version/4.0 Safari/531.20.6",True
LOG-db591f2477,ACC-10002,2026-01-26T09:56:13,192.168.5.207,dev-138b068d,Mozilla/5.0 (Windows NT 5.1; ro-RO; rv:1.9.0.20) Gecko/9193-11-16 12:29:39 Firefox/3.6.9,True
LOG-4bfcb97e72,ACC-10002,2026-02-28T06:05:15,172.20.205.126,dev-ae39d2f1,Mozilla/5.0 (Android 4.2.2; Mobile; rv:36.0) Gecko/36.0 Firefox/36.0,True
LOG-9b5683ad22,ACC-10002,2026-05-26T23:56:32,10.125.129.69,dev-d8e39ad0,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_6; rv:1.9.2.20) Gecko/4997-07-29 15:28:13 Firefox/3.8,True
LOG-3dc9cfd4e7,ACC-10002,2026-01-02T19:24:47,172.28.147.17,dev-36d692aa,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0),True
